Step,AgentID,Wealth,Steps_not_given,Tech_Adoption
1,1,10,0,0
1,2,10,0,0
1,3,10,0,0
1,4,10,0,0
1,5,10,0,0
1,6,10,0,0
1,7,10,0,0
1,8,10,0,0
1,9,10,0,0
1,10,10,0,0
1,11,10,0,0
1,12,10,0,0
1,13,10,0,0
1,14,10,0,0
1,15,10,0,0
1,16,10,0,0
1,17,10,0,0
1,18,10,0,0
1,19,10,0,0
1,20,10,0,0
1,21,10,0,0
1,22,10,0,0
1,23,10,0,0
1,24,10,0,0
1,25,10,0,0
1,26,10,0,0
1,27,10,0,0
1,28,10,0,0
1,29,10,0,0
1,30,10,0,0
1,31,10,0,0
1,32,10,0,0
1,33,10,0,0
1,34,10,0,0
1,35,10,0,0
1,36,10,0,0
1,37,10,0,0
1,38,10,0,0
1,39,10,0,0
1,40,10,0,0
1,41,10,0,0
1,42,10,0,0
1,43,10,0,0
1,44,10,0,0
1,45,10,0,0
1,46,10,0,0
1,47,10,0,0
1,48,10,0,0
1,49,10,0,0
1,50,10,0,0
1,51,10,0,0
1,52,10,0,0
1,53,10,0,0
1,54,10,0,0
1,55,10,0,0
1,56,10,0,0
1,57,10,0,0
1,58,10,0,0
1,59,10,0,0
1,60,10,0,0
1,61,10,0,0
1,62,10,0,0
1,63,10,0,0
1,64,10,0,0
1,65,10,0,0
1,66,10,0,0
1,67,10,0,0
1,68,10,0,0
1,69,10,0,0
1,70,10,0,0
1,71,10,0,0
1,72,10,0,0
1,73,10,0,0
1,74,10,0,0
1,75,10,0,0
1,76,10,0,0
1,77,10,0,0
1,78,10,0,0
1,79,10,0,0
1,80,10,0,0
1,81,10,0,0
1,82,10,0,0
1,83,10,0,0
1,84,10,0,0
1,85,10,0,0
1,86,10,0,0
1,87,10,0,0
1,88,10,0,0
1,89,10,0,0
1,90,10,0,0
1,91,10,0,0
1,92,10,0,0
1,93,10,0,0
1,94,10,0,0
1,95,10,0,0
1,96,10,0,0
1,97,10,0,0
1,98,10,0,0
1,99,10,0,0
1,100,10,0,0
2,1,10,1,1
2,2,10,1,1
2,3,10,1,1
2,4,10,1,1
2,5,10,1,1
2,6,10,1,1
2,7,10,1,1
2,8,10,1,1
2,9,10,1,1
2,10,10,1,1
2,11,10,1,1
2,12,10,0,0
2,13,10,1,1
2,14,10,1,1
2,15,10,1,1
2,16,10,1,1
2,17,10,1,1
2,18,10,1,1
2,19,10,1,1
2,20,10,1,1
2,21,10,1,1
2,22,10,1,1
2,23,10,1,1
2,24,10,1,1
2,25,10,1,1
2,26,10,1,1
2,27,10,1,1
2,28,10,1,1
2,29,10,1,1
2,30,10,1,1
2,31,10,1,1
2,32,10,1,1
2,33,10,1,1
2,34,10,1,1
2,35,10,1,1
2,36,10,1,1
2,37,10,1,1
2,38,10,1,1
2,39,10,1,1
2,40,10,1,1
2,41,10,1,1
2,42,10,1,1
2,43,10,1,1
2,44,10,1,1
2,45,10,1,1
2,46,10,1,1
2,47,10,1,1
2,48,10,1,1
2,49,10,1,1
2,50,10,1,1
2,51,10,1,1
2,52,10,1,1
2,53,10,1,1
2,54,10,1,1
2,55,10,1,1
2,56,10,1,1
2,57,10,1,1
2,58,10,1,1
2,59,10,1,1
2,60,10,1,1
2,61,10,1,1
2,62,10,1,1
2,63,10,1,1
2,64,10,1,1
2,65,10,1,1
2,66,10,1,1
2,67,10,1,1
2,68,10,1,1
2,69,10,1,1
2,70,10,1,1
2,71,10,1,1
2,72,10,1,1
2,73,10,1,1
2,74,10,1,1
2,75,10,1,1
2,76,10,1,1
2,77,10,1,1
2,78,10,1,1
2,79,10,1,1
2,80,10,1,1
2,81,10,1,1
2,82,10,1,1
2,83,10,1,1
2,84,10,1,1
2,85,10,1,1
2,86,10,1,1
2,87,10,1,1
2,88,10,1,1
2,89,10,1,1
2,90,10,1,1
2,91,10,1,1
2,92,10,1,1
2,93,10,1,1
2,94,10,1,1
2,95,10,1,1
2,96,10,0,0
2,97,10,1,1
2,98,10,1,1
2,99,10,1,1
2,100,10,1,1
3,1,10,2,2
3,2,10,2,2
3,3,10,2,2
3,4,10,2,2
3,5,10,2,2
3,6,10,2,2
3,7,10,2,2
3,8,10,2,2
3,9,10,2,2
3,10,10,2,2
3,11,10,2,2
3,12,10,1,1
3,13,10,2,2
3,14,10,2,2
3,15,10,2,2
3,16,10,2,2
3,17,10,2,2
3,18,10,2,2
3,19,10,2,2
3,20,10,2,2
3,21,10,2,2
3,22,10,2,2
3,23,10,2,2
3,24,10,2,2
3,25,10,2,2
3,26,10,2,2
3,27,10,2,2
3,28,10,2,2
3,29,10,2,2
3,30,10,2,2
3,31,10,2,2
3,32,10,2,2
3,33,10,2,2
3,34,10,2,2
3,35,10,0,1
3,36,10,2,2
3,37,10,2,2
3,38,10,2,2
3,39,10,2,2
3,40,10,2,2
3,41,10,2,2
3,42,10,2,2
3,43,10,2,2
3,44,10,2,2
3,45,10,2,2
3,46,10,2,2
3,47,10,2,2
3,48,10,2,2
3,49,10,2,2
3,50,10,2,2
3,51,10,2,2
3,52,10,2,2
3,53,10,2,2
3,54,10,2,2
3,55,10,2,2
3,56,10,2,2
3,57,10,2,2
3,58,10,2,2
3,59,10,2,2
3,60,10,2,2
3,61,10,2,2
3,62,10,2,2
3,63,10,2,2
3,64,10,2,2
3,65,10,2,2
3,66,10,2,2
3,67,10,2,2
3,68,10,2,2
3,69,10,2,2
3,70,10,2,2
3,71,10,2,2
3,72,10,2,2
3,73,10,2,2
3,74,10,2,2
3,75,10,2,2
3,76,10,2,2
3,77,10,2,2
3,78,10,2,2
3,79,10,2,2
3,80,10,2,2
3,81,10,2,2
3,82,10,2,2
3,83,10,2,2
3,84,10,2,2
3,85,10,2,2
3,86,10,2,2
3,87,10,2,2
3,88,10,2,2
3,89,10,2,2
3,90,10,2,2
3,91,10,2,2
3,92,10,2,2
3,93,10,2,2
3,94,10,0,1
3,95,10,2,2
3,96,10,1,1
3,97,10,2,2
3,98,10,2,2
3,99,10,2,2
3,100,10,2,2
4,1,10,3,3
4,2,10,3,3
4,3,10,3,3
4,4,10,3,3
4,5,10,3,3
4,6,10,3,3
4,7,10,3,3
4,8,10,3,3
4,9,10,3,3
4,10,10,3,3
4,11,10,3,3
4,12,10,2,2
4,13,10,3,3
4,14,10,0,2
4,15,10,3,3
4,16,10,3,3
4,17,10,3,3
4,18,10,3,3
4,19,10,3,3
4,20,10,3,3
4,21,10,3,3
4,22,10,3,3
4,23,10,3,3
4,24,10,3,3
4,25,10,3,3
4,26,10,3,3
4,27,10,3,3
4,28,10,3,3
4,29,10,3,3
4,30,10,3,3
4,31,10,3,3
4,32,10,3,3
4,33,10,3,3
4,34,10,3,3
4,35,10,1,2
4,36,10,3,3
4,37,10,3,3
4,38,10,3,3
4,39,10,3,3
4,40,10,3,3
4,41,10,3,3
4,42,10,3,3
4,43,10,3,3
4,44,10,3,3
4,45,10,3,3
4,46,10,3,3
4,47,10,3,3
4,48,10,3,3
4,49,10,3,3
4,50,10,3,3
4,51,10,3,3
4,52,10,3,3
4,53,10,3,3
