step,total_agents,count_INACTIVE,count_ACTIVE
0,10,6,4
1,10,6,4
2,10,5,5
3,10,4,6
4,10,5,5
5,10,5,5
6,10,6,4
7,10,6,4
8,10,5,5
9,10,5,5
10,10,5,5
11,10,5,5
12,10,5,5
13,10,5,5
14,10,5,5
15,10,5,5
16,10,5,5
17,10,5,5
18,10,5,5
19,10,5,5
20,10,5,5
21,10,5,5
22,10,5,5
23,10,5,5
24,10,5,5
25,10,5,5
26,10,5,5
27,10,5,5
28,10,5,5
29,10,5,5
30,10,5,5
31,10,5,5
32,10,5,5
33,10,5,5
34,10,5,5
35,10,5,5
36,10,5,5
37,10,5,5
38,10,5,5
39,10,5,5
40,10,5,5
41,10,5,5
42,10,5,5
43,10,5,5
44,10,5,5
45,10,5,5
46,10,5,5
47,10,5,5
48,10,5,5
49,10,5,5
